,time,d2m,t2m,slhf,ssr,str,sshf,tp,lcc,r
4432,1981-01-25 12:00:00,281.1774,304.23923,-197.57372222222222,783.9856944444444,-154.2219166666667,-270.70869444444446,0.0,0.0,23.75696
4433,1981-01-25 12:00:00,281.1774,304.23923,-197.57372222222222,783.9856944444444,-154.2219166666667,-270.70869444444446,0.0,0.0,23.75696
4434,1981-01-26 12:00:00,291.5044,303.8959,-185.613125,736.53625,-121.3107111111111,-275.5638333333333,0.0,0.06592098,46.847614
4435,1981-01-26 12:00:00,291.5044,303.8959,-185.613125,736.53625,-121.3107111111111,-275.5638333333333,0.0,0.06592098,46.847614
4436,1981-01-27 12:00:00,289.79126,301.95367,-152.16904444444447,552.3983055555556,-91.21322777777777,-194.5507638888889,1.0486692e-05,0.06705019,49.197277
4437,1981-01-27 12:00:00,289.79126,301.95367,-152.16904444444447,552.3983055555556,-91.21322777777777,-194.5507638888889,1.0486692e-05,0.06705019,49.197277
4438,1981-01-28 12:00:00,278.89905,303.31345,-208.70006944444444,767.2543055555556,-131.47075,-285.28541666666666,0.0,0.0,20.406689
4439,1981-01-28 12:00:00,278.89905,303.31345,-208.70006944444444,767.2543055555556,-131.47075,-285.28541666666666,0.0,0.0,20.406689
4440,1981-01-29 12:00:00,281.1191,303.89948,-195.8836277777778,761.4083888888889,-143.9323777777778,-263.6743888888889,0.0,0.0,21.434467
4441,1981-01-29 12:00:00,281.1191,303.89948,-195.8836277777778,761.4083888888889,-143.9323777777778,-263.6743888888889,0.0,0.0,21.434467
4442,1981-01-30 12:00:00,290.8319,303.64178,-195.90529444444445,767.16125,-123.50635555555556,-289.88085,0.0,0.03628707,46.540718
4443,1981-01-30 12:00:00,290.8319,303.64178,-195.90529444444445,767.16125,-123.50635555555556,-289.88085,0.0,0.03628707,46.540718
4444,1981-01-31 12:00:00,291.71716,303.97226,-185.16895833333334,712.26875,-110.76805555555555,-261.5290972222222,3.932789e-05,0.05371341,46.540718
4445,1981-01-31 12:00:00,291.71716,303.97226,-185.16895833333334,712.26875,-110.76805555555555,-261.5290972222222,3.932789e-05,0.05371341,46.540718
4446,1981-02-01 12:00:00,294.31186,303.2963,-173.5767361111111,676.9918055555555,-90.96011111111112,-270.81030555555554,4.587695e-06,0.73776567,61.38197
4447,1981-02-01 12:00:00,294.31186,303.2963,-173.5767361111111,676.9918055555555,-90.96011111111112,-270.81030555555554,4.587695e-06,0.73776567,61.38197
4448,1981-02-02 12:00:00,292.50714,304.15073,-189.10163888888889,696.0646666666667,-108.4017,-251.63816666666668,1.638569e-05,0.116307825,51.837856
4449,1981-02-02 12:00:00,292.50714,304.15073,-189.10163888888889,696.0646666666667,-108.4017,-251.63816666666668,1.638569e-05,0.116307825,51.837856
4450,1981-02-03 12:00:00,291.6783,303.943,-189.68666666666667,743.7156944444445,-104.54606666666668,-284.6982777777778,0.0,0.15964475,52.739357
4451,1981-02-03 12:00:00,291.6783,303.943,-189.68666666666667,743.7156944444445,-104.54606666666668,-284.6982777777778,0.0,0.15964475,52.739357
4452,1981-02-04 12:00:00,292.57837,304.22708,-172.2225,711.4469444444444,-109.72615555555555,-277.51719444444444,2.6207417e-06,0.19701526,50.1803
4453,1981-02-04 12:00:00,292.57837,304.22708,-172.2225,711.4469444444444,-109.72615555555555,-277.51719444444444,2.6207417e-06,0.19701526,50.1803
4454,1981-02-05 12:00:00,294.95752,303.95087,-148.71303888888886,573.1768055555556,-65.648325,-233.67415,2.4907291e-05,0.5240108,58.285847
4455,1981-02-05 12:00:00,294.95752,303.95087,-148.71303888888886,573.1768055555556,-65.648325,-233.67415,2.4907291e-05,0.5240108,58.285847
4456,1981-02-06 12:00:00,294.2767,304.0101,-171.3232777777778,628.0072777777779,-76.36168333333333,-253.04955555555557,4.9814582e-05,0.047792703,55.076237
4457,1981-02-06 12:00:00,294.2767,304.0101,-171.3232777777778,628.0072777777779,-76.36168333333333,-253.04955555555557,4.9814582e-05,0.047792703,55.076237
4458,1981-02-07 12:00:00,294.47375,304.9323,-166.02553888888886,674.4177777777778,-89.517925,-281.51419444444446,4.5882538e-05,0.20144048,55.741177
4459,1981-02-07 12:00:00,294.47375,304.9323,-166.02553888888886,674.4177777777778,-89.517925,-281.51419444444446,4.5882538e-05,0.20144048,55.741177
4460,1981-02-08 12:00:00,294.70963,303.09857,-200.0871527777778,617.7886111111111,-78.63974999999999,-213.5761388888889,5.8336183e-05,0.08221811,59.152187
4461,1981-02-08 12:00:00,294.70963,303.09857,-200.0871527777778,617.7886111111111,-78.63974999999999,-213.5761388888889,5.8336183e-05,0.08221811,59.152187
4462,1981-02-09 12:00:00,295.2776,302.2513,-182.31965277777778,550.7236111111112,-61.24525,-196.77511111111113,4.4571236e-05,0.4185525,67.53586
